Country Name,Year,"Inflation, consumer prices (annual %)",Consumer Price Index,GDP growth (annual %),GDP (current US$),GDP per capita (current US$),GDP per capita growth (annual %),"Unemployment, total (% of total labor force) (modeled ILO estimate)","Population, total ","Labor force, total ","Foreign direct investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP) ","Exports of goods and services (BoP, current US$)","Imports of goods and services (BoP, current US$) ",Political Stability and Absence of Violence/Terrorism: Estimate ,Control of Corruption: Estimate,Government Effectiveness: Estimate,Regulatory Quality: Estimate,Rule of Law: Estimate ,High-technology exports (current US$)
Brazil,2008,5.678593903,90.76629373,5.094195447,1695860000000,8801.759475,4.061722166,8.27,192672317,93935308,24601090274,2.990608926,226199000000,224219000000,-0.313424706,0.003437368,-0.148200899,0.07702741,-0.28804478,10794672124
Brazil,2009,4.888034799,95.20298175,-0.125812002,1667000000000,8569.901805,-1.073238333,9.42,194517549,95703669,36032805800,1.888482404,178721000000,176404000000,0.163664222,-0.079985611,-0.151303574,0.127607271,-0.103854693,8460823303
Brazil,2010,5.038726901,100,7.528225818,2208840000000,11249.29374,6.522816179,8.034,196353492,95367508,55626921873,3.73001227,231258000000,250627000000,0.013475911,0.043806359,-0.086862549,0.246619865,0.056414437,8821366143
Brazil,2011,6.636449622,106.6364496,3.974423079,2616160000000,13200.55817,3.013396273,7.58,198185302,94948394,86360111205,3.915179541,291839000000,308669000000,-0.132575423,0.168382421,-0.15240407,0.25802207,0.045141723,9144341214
Brazil,2012,5.40349914,112.3985493,1.921175986,2465230000000,12327.51556,1.007654033,7.25,199977707,97188186,90485123670,3.754962108,280178000000,311818000000,0.045961641,-0.046854232,-0.160548672,0.173244089,-0.076932795,9470908285
Brazil,2013,6.204310666,119.3721044,3.004822669,2472820000000,12258.56485,2.114256452,7.07,201721767,98532617,59567525425,3.041509229,279142000000,333725000000,-0.258553296,-0.097699746,-0.118274905,0.146290123,-0.091847032,9066226856
Brazil,2014,6.329040155,126.9272129,0.50395574,2456040000000,12071.40465,-0.354514802,6.76,203459650,99628945,67107129352,3.571352613,263469000000,327261000000,-0.070290133,-0.365745902,-0.175329745,-0.028219953,-0.052719016,8794610139
Brazil,2015,9.029901024,138.3886146,-3.545763393,1802210000000,8783.214413,-4.358317179,8.56,205188205,101299233,61604176365,3.592149731,223589000000,251814000000,-0.331864446,-0.457372844,-0.254576027,-0.181910038,-0.187204733,9433008382
Brazil,2016,8.739143523,150.4825942,-3.275916908,1795690000000,8680.735421,-4.057423002,11.74,206859578,102278733,59601145882,4.137378539,217321000000,209433000000,-0.38103506,-0.445450932,-0.248414695,-0.189951748,-0.201229781,10375405524
Brazil,2017,3.44637335,155.6687862,1.322869054,2063510000000,9896.717511,0.523296589,12.93,208504960,104079618,47544978340,3.338260284,251258000000,235561000000,-0.480093956,-0.559335768,-0.316740096,-0.130867004,-0.305652469,10715074507
Brazil,2018,3.664850284,161.3738142,1.783666762,1916930000000,9121.020092,0.978938493,12.46,210166592,105437485,76138154756,4.077487084,273564000000,269519000000,-0.459640145,-0.480606288,-0.520446002,-0.293125451,-0.302387714,11062943508
Brazil,2019,3.732976212,167.3978603,1.220777824,1873290000000,8845.323931,0.448280407,12.05,211782878,107415119,46354807251,3.692673304,258833000000,270767000000,-0.714393616,-0.40767929,-0.233971298,-0.121404096,-0.224174306,9391878589
Brazil,2020,3.211768038,172.7742913,-3.276758796,1476110000000,6923.700197,-3.918004172,13.93,213196304,100641930,41253539809,2.559860419,238221000000,230508000000,-0.445607245,-0.428935021,-0.4653593,-0.111011527,-0.23170203,5944927304
Brazil,2021,8.301659756,187.1174251,4.988849701,1649620000000,7696.785531,4.435352819,13.34,214326223,105434083,30199741445,2.815132448,315494000000,306087000000,-0.41969654,-0.498797685,-0.492295623,-0.121613994,-0.300649881,6350114829
Brazil,2022,9.28010609,204.4821206,2.900530615,1920100000000,8917.673898,2.42870176,9.461,215313498,108380011,60808030834,4.765497376,379783000000,375648000000,-0.3314659,-0.566063046,-0.587532163,-0.220437631,-0.257250935,6564853075
Canada,2008,2.370270674,97.96078993,1.004289199,1552989690722,46710.50558,-0.08359243168,6.14,33247118,18662575,18568974469,4.515137142,535719719575,507575472096,1.041372657,1.987721443,1.782482386,1.650943518,1.496273756,30127811741
Canada,2009,0.299466803,98.25414997,-2.925955647,1374625142157,40876.31015,-4.028003081,8.34,33628895,18787385,16787996096,1.524131181,392141630610,412436230446,1.127075911,2.051796675,1.742083311,1.696578741,1.445757031,25642281363
Canada,2010,1.776871541,100,3.089919462,1617343367486,47562.08343,1.950048334,8.06,34004889,18985430,6626667134,1.837256387,469288008081,500163006071,0.9363182187,2.061873198,1.777826786,1.693430305,1.499731541,26566354162
Canada,2011,2.912135089,102.9121351,3.146100491,1793326630175,52223.69611,2.141535734,7.51,34339328,19146806,11756393310,2.137833108,546776957186,568459622008,1.077175736,1.971133471,1.772545457,1.684840202,1.429734826,27498833323
Canada,2012,1.515678231,104.4719519,1.760961588,1828366481522,52669.08996,0.6620006509,7.29,34714222,19316264,12879466786,2.700169009,554961465411,589479800293,1.113016248,1.918904424,1.756970048,1.707194686,1.436932445,33106176422
Canada,2013,0.9382918978,105.4522038,2.329122506,1846597421835,52635.17496,1.253613813,7.07,35082954,19522293,12563236013,3.629803984,560082523492,589064606422,1.061421752,1.879342556,1.781250119,1.729890943,1.40233779,32177506045
Canada,2014,1.906635907,107.4627934,2.870036075,1805749878440,50955.99832,1.841026124,6.91,35437435,19586757,805191688.4,3.55390337,573305506396,589626505395,1.17550385,1.832427263,1.754353166,1.838725328,1.453593969,28785442620
Canada,2015,1.125241361,108.6720092,0.6591768636,1556508816217,43596.13554,-0.08928580115,6.91,35702908,19690129,23927632715,3.853894537,496137259588,534721035459,1.26233685,1.845864892,1.731752515,1.706058025,1.366789818,28241567521
Canada,2016,1.428759547,110.2246709,1.001394414,1527994741907,42315.60371,-0.1358426213,7,36109487,19877599,33404095513,2.238350121,481615868845,517857545754,1.240411639,1.944438457,1.745492697,1.727414131,1.35174191,26201901348
Canada,2017,1.596884129,111.9848311,3.039880225,1649265644244,45129.4293,1.811278917,6.34,36545236,20144985,52829985895,1.53752072,518864192860,555101866455,1.089679599,1.880703807,1.815371752,1.879201412,1.39693749,26937505963
Canada,2018,2.268225672,114.5248998,2.777040554,1725297938436,46547.79518,1.335564285,5.83,37065084,20344108,20156533320,2.469356805,557656145916,591388920187,0.9637743831,1.789857745,1.675177932,1.699419856,1.396100879,30479680520
Canada,2019,1.949269024,116.7572982,1.888223585,1743725183673,46374.15275,0.4354263358,5.66,37601230,20758436,26965431145,2.80676687,564128218248,589666321024,0.9948179126,1.729976535,1.697395086,1.710002422,1.371217132,31536892938
